SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION,SOURCE_FIELD,TARGET_FIELD,SOURCE_NODE,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
subquery_2[COUNT(*)],query_User::RecordCount[FSH_CNT],COUNT(*) AS FSH_CNT,COUNT(*),FSH_CNT,23.0,27,1,3,#ff6961
staging.FTP_Base[COUNT(*)],subquery_1[COUNT(*)],,COUNT(*),COUNT(*),26.0,12,1,4,aliceblue
subquery_1[COUNT(*)],query_User::RecordCount[FBA_CNT],COUNT(*) AS FBA_CNT,COUNT(*),FBA_CNT,12.0,27,1,5,#ff6961
[FUP_CNT],query_User::RecordCount[FUP_CNT],,FUP_CNT,FUP_CNT,,27,1,6,aliceblue
query_User::RecordCount[FUP_CNT],User::RecordCount[RecordCount],"ADD(ADD(FBA_CNT, FSH_CNT), FUP_CNT)",FUP_CNT,RecordCount,27.0,28,1,7,#ff6961
[FBA_CNT],query_User::RecordCount[FBA_CNT],,FBA_CNT,FBA_CNT,,27,1,8,aliceblue
[FSH_CNT],query_User::RecordCount[FSH_CNT],,FSH_CNT,FSH_CNT,,27,1,10,aliceblue
dbo.tbl_Product_file[Import_Table],query_User::New_table_long[Import_Table],,Import_Table,Import_Table,38.0,35,1,0,aliceblue
query_User::New_table_long[Import_Table],User::New_table_long[Import_Table],,Import_Table,Import_Table,35.0,36,1,1,aliceblue
dbo.tbl_Product_file[Input_Location],query_User::New_table_long[Input_Location],,Input_Location,Input_Location,38.0,35,1,4,aliceblue
query_User::New_table_long[Input_Location],User::New_table_long[Input_Location],,Input_Location,Input_Location,35.0,36,1,5,aliceblue
dbo.tbl_Product_file[Import_error_table],query_User::New_table_long[Import_error_table],,Import_error_table,Import_error_table,38.0,35,1,8,aliceblue
query_User::New_table_long[Import_error_table],User::New_table_long[Import_error_table],,Import_error_table,Import_error_table,35.0,36,1,9,aliceblue
dbo.tbl_Product_file[Mastertable_Tabel_Field],query_User::New_table_long[Mastertable_Tabel_Field],,Mastertable_Tabel_Field,Mastertable_Tabel_Field,38.0,35,1,12,aliceblue
query_User::New_table_long[Mastertable_Tabel_Field],User::New_table_long[Mastertable_Tabel_Field],,Mastertable_Tabel_Field,Mastertable_Tabel_Field,35.0,36,1,13,aliceblue
dbo.tbl_Product_file[Imported_Location],query_User::New_table_long[Imported_Location],,Imported_Location,Imported_Location,38.0,35,1,16,aliceblue
query_User::New_table_long[Imported_Location],User::New_table_long[Imported_Location],,Imported_Location,Imported_Location,35.0,36,1,17,aliceblue
dbo.tbl_Product_file[Mail_Group],query_User::New_table_long[Mail_Group],,Mail_Group,Mail_Group,38.0,35,1,20,aliceblue
query_User::New_table_long[Mail_Group],User::New_table_long[Mail_Group],,Mail_Group,Mail_Group,35.0,36,1,21,aliceblue
dbo.tbl_File_State[File_Name],query_User::New_table_long[File_Name],,File_Name,File_Name,39.0,35,1,24,aliceblue
query_User::New_table_long[File_Name],User::New_table_long[File_Name],,File_Name,File_Name,35.0,36,1,25,aliceblue
dbo.tbl_Product_parameter[Parameter_Value],query_User::New_table_long[Parameter_Value],,Parameter_Value,Parameter_Value,40.0,35,1,28,aliceblue
query_User::New_table_long[Parameter_Value],User::New_table_long[Parameter_Value],,Parameter_Value,Parameter_Value,35.0,36,1,29,aliceblue
query_User::New_table_long[Parameter_Value],User::New_table_long[Reporting_Database],,Parameter_Value,Reporting_Database,35.0,36,1,33,aliceblue
query_User::New_table_long[Parameter_Value],User::New_table_long[Reporting_Server],,Parameter_Value,Reporting_Server,35.0,36,1,35,aliceblue
User::FileID[User::FileID],query_User::New_table_long[User::FileID],,User::FileID,User::FileID,34.0,35,1,36,aliceblue
User::Period[User::Period],query_User::New_table_long[User::Period],,User::Period,User::Period,33.0,35,1,37,aliceblue
User::Product[User::Product],query_User::New_table_long[User::Product],,User::Product,User::Product,32.0,35,1,38,aliceblue
staging.GAP[COUNT(*)],subquery_5[COUNT(*)],,COUNT(*),COUNT(*),44.0,43,1,0,aliceblue
subquery_5[COUNT(*)],query_User::Rec_cnt[GAP_CNT],COUNT(*) AS GAP_CNT,COUNT(*),GAP_CNT,43.0,53,1,1,#ff6961
staging.Forecast_Periods[COUNT(*)],subquery_4[COUNT(*)],,COUNT(*),COUNT(*),46.0,45,1,2,aliceblue
subquery_4[COUNT(*)],query_User::Rec_cnt[FOP_CNT],COUNT(*) AS FOP_CNT,COUNT(*),FOP_CNT,45.0,53,1,3,#ff6961
staging.Account_Dimension[COUNT(*)],subquery_3[COUNT(*)],,COUNT(*),COUNT(*),48.0,21,1,4,aliceblue
subquery_3[COUNT(*)],query_User::Rec_cnt[ACD_CNT],COUNT(*) AS ACD_CNT,COUNT(*),ACD_CNT,21.0,53,1,5,#ff6961
staging.Run_Time_Description[COUNT(*)],subquery_2[COUNT(*)],,COUNT(*),COUNT(*),50.0,23,1,6,aliceblue
subquery_2[COUNT(*)],query_User::Rec_cnt[RTD_CNT],COUNT(*) AS RTD_CNT,COUNT(*),RTD_CNT,23.0,53,1,7,#ff6961
staging.PlanningDimentsions[COUNT(*)],subquery_1[COUNT(*)],,COUNT(*),COUNT(*),52.0,12,1,8,aliceblue
subquery_1[COUNT(*)],query_User::Rec_cnt[PLN_CNT],COUNT(*) AS PLN_CNT,COUNT(*),PLN_CNT,12.0,53,1,9,#ff6961
GAP[GAP_CNT],query_User::Rec_cnt[GAP_CNT],,GAP_CNT,GAP_CNT,,53,1,10,aliceblue
query_User::Rec_cnt[GAP_CNT],User::Rec_cnt[ANONYM],"ADD(ADD(ADD(ADD(PLN_CNT, RTD_CNT), ACD_CNT), FOP_CNT), GAP_CNT)",GAP_CNT,ANONYM,53.0,54,1,11,#ff6961
FOP[FOP_CNT],query_User::Rec_cnt[FOP_CNT],,FOP_CNT,FOP_CNT,,53,1,12,aliceblue
ACD[ACD_CNT],query_User::Rec_cnt[ACD_CNT],,ACD_CNT,ACD_CNT,,53,1,14,aliceblue
PLN[PLN_CNT],query_User::Rec_cnt[PLN_CNT],,PLN_CNT,PLN_CNT,,53,1,16,aliceblue
RTD[RTD_CNT],query_User::Rec_cnt[RTD_CNT],,RTD_CNT,RTD_CNT,,53,1,18,aliceblue
cfg.LKP_Counterparty[Intercompany_segment],query_Package\Update_GAP_1[Intercompany_segment],,Intercompany_segment,Intercompany_segment,60.0,64,1,0,aliceblue
query_Package\Update_GAP_1[Intercompany_segment],staging.GAP[Intercompany_segment],"ISNULL(cfg.LKP_Counterparty.Intercompany_segment, 'LKP_error')",Intercompany_segment,Intercompany_segment,64.0,44,1,1,#ff6961
query_Package\GAP_DCF_1[value: 0],staging.GAP_DCF_Intermediate[ValueResult],,value: 0,ValueResult,66.0,65,1,0,aliceblue
query_Package\GAP_DCF_1[value: 0],staging.GAP_DCF_Intermediate[ValueCorrected],,value: 0,ValueCorrected,66.0,65,1,1,aliceblue
dbo.tbl_Product_file[Import_Table],query_User::Table_joins[Import_Table],,Import_Table,Import_Table,38.0,70,1,0,aliceblue
query_User::Table_joins[Import_Table],User::Table_joins[Import_Table],,Import_Table,Import_Table,70.0,71,1,1,aliceblue
dbo.tbl_Product_file[Input_Location],query_User::Table_joins[Input_Location],,Input_Location,Input_Location,38.0,70,1,4,aliceblue
query_User::Table_joins[Input_Location],User::Table_joins[Input_Location],,Input_Location,Input_Location,70.0,71,1,5,aliceblue
dbo.tbl_Product_file[Import_error_table],query_User::Table_joins[Import_error_table],,Import_error_table,Import_error_table,38.0,70,1,8,aliceblue
query_User::Table_joins[Import_error_table],User::Table_joins[Import_error_table],,Import_error_table,Import_error_table,70.0,71,1,9,aliceblue
dbo.tbl_Product_file[Mastertable_Tabel_Field],query_User::Table_joins[Mastertable_Tabel_Field],,Mastertable_Tabel_Field,Mastertable_Tabel_Field,38.0,70,1,12,aliceblue
query_User::Table_joins[Mastertable_Tabel_Field],User::Table_joins[Mastertable_Tabel_Field],,Mastertable_Tabel_Field,Mastertable_Tabel_Field,70.0,71,1,13,aliceblue
dbo.tbl_Product_file[Imported_Location],query_User::Table_joins[Imported_Location],,Imported_Location,Imported_Location,38.0,70,1,16,aliceblue
query_User::Table_joins[Imported_Location],User::Table_joins[Imported_Location],,Imported_Location,Imported_Location,70.0,71,1,17,aliceblue
dbo.tbl_Product_file[Mail_Group],query_User::Table_joins[Mail_Group],,Mail_Group,Mail_Group,38.0,70,1,20,aliceblue
query_User::Table_joins[Mail_Group],User::Table_joins[Mail_Group],"ISNULL(Mail_Group, '')",Mail_Group,Mail_Group,70.0,71,1,21,#ff6961
dbo.tbl_File_State[File_Name],query_User::Table_joins[File_Name],,File_Name,File_Name,39.0,70,1,22,aliceblue
query_User::Table_joins[File_Name],User::Table_joins[File_Name],,File_Name,File_Name,70.0,71,1,23,aliceblue
dbo.tbl_Product_parameter[Parameter_Value],query_User::Table_joins[Parameter_Value],,Parameter_Value,Parameter_Value,40.0,70,1,26,aliceblue
query_User::Table_joins[Parameter_Value],User::Table_joins[Parameter_Value],,Parameter_Value,Parameter_Value,70.0,71,1,27,aliceblue
query_User::Table_joins[Parameter_Value],User::Table_joins[Reporting_Database],,Parameter_Value,Reporting_Database,70.0,71,1,31,aliceblue
query_User::Table_joins[Parameter_Value],User::Table_joins[Reporting_Server],,Parameter_Value,Reporting_Server,70.0,71,1,33,aliceblue
User::FileID[User::FileID],query_User::Table_joins[User::FileID],,User::FileID,User::FileID,34.0,70,1,34,aliceblue
User::Period[User::Period],query_User::Table_joins[User::Period],,User::Period,User::Period,33.0,70,1,35,aliceblue
User::Product[User::Product],query_User::Table_joins[User::Product],,User::Product,User::Product,32.0,70,1,36,aliceblue
