SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION,SOURCE_FIELD,TARGET_FIELD,SOURCE_NODE,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
old_table[ContactName],Package\Overwrite insert table[ContactName],,ContactName,ContactName,10,12,1,38,aliceblue
old_table[ContactTitle],Package\Overwrite insert table[ContactTitle],,ContactTitle,ContactTitle,10,12,1,39,aliceblue
old_table[PostalCode],Package\Overwrite insert table[PostalCode],,PostalCode,PostalCode,10,12,1,40,aliceblue
old_table[ValidFrom],Package\Overwrite insert table[ValidFrom],,ValidFrom,ValidFrom,10,12,1,41,aliceblue
old_table[ValidTo],Package\Overwrite insert table[ValidTo],,ValidTo,ValidTo,10,12,1,42,aliceblue
old_table[Active],Package\Overwrite insert table[Active],,Active,Active,10,12,1,43,aliceblue
old_table[UnitPrice],Package\Overwrite insert table[UnitPrice],,UnitPrice,UnitPrice,10,12,1,44,aliceblue
Package\Overwrite insert table[CompanyName],New_Supp_Prod_output[CompanyName],,CompanyName,CompanyName,12,13,1,81,aliceblue
Package\Overwrite insert table[Preferred],New_Supp_Prod_output[Preferred],,Preferred,Preferred,12,13,1,82,aliceblue
Package\Overwrite insert table[Discount],New_Supp_Prod_output[Discount],,Discount,Discount,12,13,1,83,aliceblue
Package\Overwrite insert table[Country],New_Supp_Prod_output[Country],,Country,Country,12,13,1,84,aliceblue
Package\Overwrite insert table[Address],New_Supp_Prod_output[Address],,Address,Address,12,13,1,85,aliceblue
Package\Overwrite insert table[Region],New_Supp_Prod_output[Region],,Region,Region,12,13,1,86,aliceblue
Package\Overwrite insert table[Fax],New_Supp_Prod_output[Fax],,Fax,Fax,12,13,1,87,aliceblue
Package\Overwrite insert table[Phone],New_Supp_Prod_output[Phone],,Phone,Phone,12,13,1,88,aliceblue
Package\Overwrite insert table[City],New_Supp_Prod_output[City],,City,City,12,13,1,89,aliceblue
Package\Overwrite insert table[SupplierID],New_Supp_Prod_output[SupplierID],,SupplierID,SupplierID,12,13,1,90,aliceblue
Package\Overwrite insert table[ContactName],New_Supp_Prod_output[ContactName],,ContactName,ContactName,12,13,1,91,aliceblue
Package\Overwrite insert table[ContactTitle],New_Supp_Prod_output[ContactTitle],,ContactTitle,ContactTitle,12,13,1,92,aliceblue
Package\Overwrite insert table[PostalCode],New_Supp_Prod_output[PostalCode],,PostalCode,PostalCode,12,13,1,93,aliceblue
Package\Overwrite insert table[ValidFrom],New_Supp_Prod_output[ValidFrom],,ValidFrom,ValidFrom,12,13,1,94,aliceblue
Package\Overwrite insert table[ValidTo],New_Supp_Prod_output[ValidTo],,ValidTo,ValidTo,12,13,1,95,aliceblue
Package\Overwrite insert table[Active],New_Supp_Prod_output[Active],,Active,Active,12,13,1,96,aliceblue
Package\Overwrite insert table[UnitPrice],New_Supp_Prod_output[UnitPrice],,UnitPrice,UnitPrice,12,13,1,97,aliceblue
Region[Region],Package\Overwrite insert table[Region],,Region,Region,11,12,1,151,aliceblue
